_id,mname,tag,mlength,releaseday,isSequel,type,region,distributor,boxoffice_tot,boxoffice_pm,boxoffice_1std,boxoffice_1stw,boxoffice_1stwk
642658,星球大战外传：侠盗一号,科幻 动作 冒险,134,2017/1/6,1,3D IMAX 2D,美国,中影 华夏,478000000,3890000,71800000,225000000,149000000
653421,玩命直播,动作 惊悚 冒险,97,2017/1/6,0,2D,美国,华夏,13000000,4000,1960000,7860000,5900000
640184,恐怖理发店,惊悚 恐怖,90,2017/1/6,0,2D,中国,东阳四月天,5030000,8000,541000,1460000,907000
659022,猪猪侠之英雄猪少年,动画 喜剧 奇幻 冒险,91,2017/1/7,0,2D,中国,乐视影业,46000000,13300000,8730000,21100000,16800000
657105,一万公里的约定,爱情 亲情 励志 运动,105,2017/1/6,0,2D,中国台湾,中影 爱奇艺影业,3750000,3000,1200000,2670000,1460000
658667,一路逆风,纪录片 音乐,91,2017/1/6,0,2D,中国,龙传媒 春秋永乐影视,3280000,753000,732000,2020000,1020000
657814,太空旅客,科幻 冒险,118,2017/1/13,0,3D,美国,中影 华夏,314000000,469000,39200000,129000000,89100000
658620,大卫贝肯之倒霉特工熊,动画 冒险,86,2017/1/13,0,3D 2D,中国,奥飞影业（上海） 霍尔果斯鑫岳影视 鑫岳影业...,126000000,152000,10600000,43200000,32500000
655281,魔弦传说,动画 冒险 奇幻,102,2017/1/13,0,3D 2D,美国,中影,43900000,47000,7180000,22200000,15000000
643385,天空之眼,剧情 战争,102,2017/1/13,0,2D,英国,华夏,17400000,11000,2770000,8900000,6120000
628242,少年巴比伦,爱情 喜剧 青春 剧情,96,2017/1/13,0,2D,中国,华谊兄弟 华夏 华影天下（天津）,3140000,1000,846000,1900000,1050000
621560,降临,科幻 剧情 悬疑,117,2017/1/20,0,2D,美国,中影 华夏,109000000,157000,19600000,54600000,34900000
643232,健忘村,喜剧 奇幻 武侠 古装,116,2017/1/27,0,2D,中国/中国台湾,五洲电影 华夏,16000000,6570000,1580000,11400000,3300000
619719,西游伏妖篇,奇幻 喜剧,108,2017/1/28,1,3D IMAX,中国/中国香港,淘票票 和和影业 四海电影...,1660000000,11900000,356000000,590000000,578000000
655318,熊出没之奇幻空间,动画 喜剧 儿童,91,2017/1/28,0,3D 2D,中国,乐视（天津） 珠江影业 本来影业...,522000000,21500000,52100000,102000000,102000000
655798,乘风破浪,剧情,102,2017/1/28,0,2D,中国,上海博纳 华夏,1050000000,2370000,67900000,130000000,127000000
629898,功夫瑜伽,喜剧 动作 冒险,108,2017/1/28,0,3D 2D,中国/印度,太合数娱 华夏 华策影业（天津）...,1750000000,3390000,138000000,273000000,269000000
